"district_name","ITN_Type","max_effect","min_effect","median_effect","mean_effect","max_percent","min_percent","median_percent","mean_percent"
"Mitooma District","ITN4",1.98,0.97,1.29,1.32,49.43,-3.05,22.77,24.22
"Mityana District","ITN2",1.53,1.23,1.41,1.37,34.55,18.96,29.22,26.95
"Mityana District","ITN3",1.44,1,1.2,1.15,30.35,13.82,24.69,22.28
"Mityana District","ITN4",1.53,0.99,1.32,1.24,34.46,-0.76,23.99,19.09
"Moroto District","ITN2",1.48,0.78,1.2,1.18,32.3,-28.09,16.82,15.23
"Moroto District","ITN3",1.32,0.5,1.59,1.52,24.5,-30.49,8.62,7.06
"Moroto District","ITN4",2.63,0.38,1.71,1.63,61.91,-162.49,41.4,38.68
"Moyo District","ITN2",1.1,0.93,1.05,1.03,9.19,-7.12,4.7,3.33
"Moyo District","ITN3",1.26,1.89,2.38,2.31,20.46,3.08,15.77,14.32
"Moyo District","ITN4",6.23,3.91,5.51,5.31,83.95,74.44,81.86,81.15
"Mpigi District","ITN2",1.5,1.11,1.24,1.27,33.31,9.98,19.14,21.47
"Mpigi District","ITN3",1.46,0.97,1.09,1.13,31.72,8.95,17.85,20.13
"Mpigi District","ITN4",1.63,0.94,1.16,1.23,38.72,-6.66,13.93,18.54
"Mubende District","ITN2",1.28,1.02,1.17,1.18,22.02,2.35,14.31,14.94
"Mubende District","ITN3",1.24,0.8,0.98,0.99,19.41,-1.99,11.03,11.72
"Mubende District","ITN4",1.17,0.7,0.96,0.98,14.83,-42.8,-4,-2.31
"Mukono District","ITN2",1.16,1,1.08,1.07,14.09,-0.18,7.25,6.85
"Mukono District","ITN3",1.03,0.85,0.98,0.97,3.18,-20.09,-7.61,-8.26
"Mukono District","ITN4",1.18,0.74,0.95,0.94,15.14,-35.73,-5.55,-6.94
