"location","spray_start","spray_end","formulation","year","household_coverage","population_coverage","funder","source","source_2","spray_date","month_count","location_id","region_name","path_to_top_parent","form_short","district"
"Otuke District",2017-07-17,2017-08-19,"Actellic",2017,96.7,NA,"","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2017-08",31,"aXjub1BYn1y","Lango","akV6429SUqu,DWPnYhoqza0,aXjub1BYn1y","actellic","Otuke District"
"Oyam District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"xpIFdCMhVHG","Lango","akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG","actellic","Oyam District"
"Pallisa District",2017-04-01,2017-07-01,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-05",28,"WiVj4bEhX4P","Bukedi","akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P","actellic","Pallisa District"
"Serere District",2017-05-02,2017-06-06,"Actellic",2017,NA,NA,"","USAID summarized by AI (can't check)","","2017-05",28,"zJfpujxC1kD","Teso","akV6429SUqu,r0GhWtmPHDj,zJfpujxC1kD","actellic","Serere District"
"Tororo District",2017-07-17,2017-08-19,"Actellic",2017,94.9,NA,"PMI","https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000676","","2017-08",31,"KhT80mlwJ3Y","Bukedi","akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y","actellic","Tororo District"
"Pader District",2017-03-01,2017-04-01,"Actellic",2017,NA,NA,"","https://www.nature.com/articles/s41467-021-22896-5","","2017-03",26,"aBrjuZk0W31","Acholi","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31","actellic","Pader District"
"Budaka District",2018-04-09,2018-05-12,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-04",39,"kb7iUQISRlx","Bukedi","akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx","actellic","Budaka District"
"Butaleja District",2018-04-09,2018-05-12,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-04",39,"MtpE3CH6vq3","Bukedi","akV6429SUqu,QBPg7KKCeoA,MtpE3CH6vq3","actellic","Butaleja District"
"Butebo District",2018-04-09,2018-05-12,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-04",39,"FDPqRvcW3NN","Bukedi","akV6429SUqu,QBPg7KKCeoA,FDPqRvcW3NN","actellic","Butebo District"
"Namutumba District",2018-04-09,2018-05-12,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-04",39,"esIUe2tQAtL","Busoga","akV6429SUqu,Wd1lV9Qdj4o,esIUe2tQAtL","actellic","Namutumba District"
"Pallisa District",2018-04-09,2018-05-12,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-04",39,"WiVj4bEhX4P","Bukedi","akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P","actellic","Pallisa District"
"Bugiri District",2018-06-11,2018-07-27,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-07",42,"gUaoj8Geuao","Busoga","akV6429SUqu,Wd1lV9Qdj4o,gUaoj8Geuao","actellic","Bugiri District"
"Kaberamaido District",2018-06-11,2018-07-27,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-07",42,"QoRZB7xc3j9","Teso","akV6429SUqu,r0GhWtmPHDj,QoRZB7xc3j9","actellic","Kaberamaido District"
"Kibuku District",2018-06-11,2018-07-27,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-07",42,"Oyxwe3iDqpR","Bukedi","akV6429SUqu,QBPg7KKCeoA,Oyxwe3iDqpR","actellic","Kibuku District"
"Lira District",2018-06-11,2018-07-27,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-07",42,"Lj8t70RYnEt","Lango","akV6429SUqu,DWPnYhoqza0,Lj8t70RYnEt","actellic","Lira District"
"Serere District",2018-06-11,2018-07-27,"Actellic",2018,NA,NA,"","Rek sheet + AI read of PMI report","","2018-07",42,"zJfpujxC1kD","Teso","akV6429SUqu,r0GhWtmPHDj,zJfpujxC1kD","actellic","Serere District"
"Budaka District",2020-03-02,2020-03-28,"Fludora Fusion",2020,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00X48W.pdf","","2020-03",62,"kb7iUQISRlx","Bukedi","akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx","ff","Budaka District"
"Bugiri District",2020-03-02,2020-03-28,"Fludora Fusion",2020,NA,NA,"PMI","https://pdf.usaid.gov/pdf_docs/PA00X48W.pdf","","2020-03",62,"gUaoj8Geuao","Busoga","akV6429SUqu,Wd1lV9Qdj4o,gUaoj8Geuao","ff","Bugiri District"
